Person,Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
Trevor,2024-03-02,Trevor Workout,1h,Bench Press (Barbell),1,100.53,9,0,0,Lorem ipsum dolor sit amet,,6.3
Trevor,2024-03-03,Trevor Workout,1h,Bench Press (Barbell),1,100.58,9,0,0,Lorem ipsum dolor sit amet,,8.9
Trevor,2024-03-04,Trevor Workout,1h,Bench Press (Barbell),1,100.86,10,0,0,Lorem ipsum dolor sit amet,,9.2
Trevor,2024-03-05,Trevor Workout,1h,Bench Press (Barbell),1,101.03,5,0,0,Lorem ipsum dolor sit amet,,9.7
Trevor,2024-03-06,Trevor Workout,1h,Bench Press (Barbell),1,101.35,10,0,0,Lorem ipsum dolor sit amet,,9.8
Trevor,2024-03-07,Trevor Workout,1h,Bench Press (Barbell),1,101.73,6,0,0,Lorem ipsum dolor sit amet,,6.3
Trevor,2024-03-08,Trevor Workout,1h,Bench Press (Barbell),1,101.87,5,0,0,Lorem ipsum dolor sit amet,,8.0
Trevor,2024-03-09,Trevor Workout,1h,Bench Press (Barbell),1,102.43,7,0,0,Lorem ipsum dolor sit amet,,7.0
Trevor,2024-03-10,Trevor Workout,1h,Bench Press (Barbell),1,102.69,5,0,0,Lorem ipsum dolor sit amet,,7.8
Trevor,2024-03-11,Trevor Workout,1h,Bench Press (Barbell),1,103.03,5,0,0,Lorem ipsum dolor sit amet,,9.2
Trevor,2024-03-12,Trevor Workout,1h,Bench Press (Barbell),1,103.21,6,0,0,Lorem ipsum dolor sit amet,,9.0
Trevor,2024-03-13,Trevor Workout,1h,Bench Press (Barbell),1,103.92,5,0,0,Lorem ipsum dolor sit amet,,6.2
Trevor,2024-03-14,Trevor Workout,1h,Bench Press (Barbell),1,104.07,6,0,0,Lorem ipsum dolor sit amet,,8.9
Trevor,2024-03-15,Trevor Workout,1h,Bench Press (Barbell),1,104.58,8,0,0,Lorem ipsum dolor sit amet,,7.9
Trevor,2024-03-16,Trevor Workout,1h,Bench Press (Barbell),1,104.84,6,0,0,Lorem ipsum dolor sit amet,,9.7
Trevor,2024-03-17,Trevor Workout,1h,Bench Press (Barbell),1,105.02,6,0,0,Lorem ipsum dolor sit amet,,9.1
Trevor,2024-03-18,Trevor Workout,1h,Bench Press (Barbell),1,105.37,10,0,0,Lorem ipsum dolor sit amet,,9.2
Trevor,2024-03-19,Trevor Workout,1h,Bench Press (Barbell),1,105.91,9,0,0,Lorem ipsum dolor sit amet,,6.9
Trevor,2024-03-20,Trevor Workout,1h,Bench Press (Barbell),1,106.35,6,0,0,Lorem ipsum dolor sit amet,,9.7
Trevor,2024-03-21,Trevor Workout,1h,Bench Press (Barbell),1,106.58,7,0,0,Lorem ipsum dolor sit amet,,6.4
Trevor,2024-03-22,Trevor Workout,1h,Bench Press (Barbell),1,106.86,6,0,0,Lorem ipsum dolor sit amet,,7.7
Trevor,2024-03-23,Trevor Workout,1h,Bench Press (Barbell),1,107.15,7,0,0,Lorem ipsum dolor sit amet,,7.3
Trevor,2024-03-24,Trevor Workout,1h,Bench Press (Barbell),1,107.13,10,0,0,Lorem ipsum dolor sit amet,,7.2
Trevor,2024-03-25,Trevor Workout,1h,Bench Press (Barbell),1,107.32,6,0,0,Lorem ipsum dolor sit amet,,7.3
Trevor,2024-03-26,Trevor Workout,1h,Bench Press (Barbell),1,107.54,10,0,0,Lorem ipsum dolor sit amet,,7.8
Trevor,2024-03-27,Trevor Workout,1h,Bench Press (Barbell),1,107.65,10,0,0,Lorem ipsum dolor sit amet,,9.0
Trevor,2024-03-28,Trevor Workout,1h,Bench Press (Barbell),1,107.89,8,0,0,Lorem ipsum dolor sit amet,,8.1
Trevor,2024-03-29,Trevor Workout,1h,Bench Press (Barbell),1,108.18,8,0,0,Lorem ipsum dolor sit amet,,8.1
Trevor,2024-03-30,Trevor Workout,1h,Bench Press (Barbell),1,108.16,6,0,0,Lorem ipsum dolor sit amet,,8.6
Trevor,2024-01-01,Trevor Workout,1h,Deadlift (Barbell),1,62.11,8,0,0,Lorem ipsum dolor sit amet,,9.5
Trevor,2024-01-02,Trevor Workout,1h,Deadlift (Barbell),1,62.3,7,0,0,Lorem ipsum dolor sit amet,,8.5
Trevor,2024-01-03,Trevor Workout,1h,Deadlift (Barbell),1,62.65,5,0,0,Lorem ipsum dolor sit amet,,9.2
Trevor,2024-01-04,Trevor Workout,1h,Deadlift (Barbell),1,62.81,5,0,0,Lorem ipsum dolor sit amet,,7.6
Trevor,2024-01-05,Trevor Workout,1h,Deadlift (Barbell),1,62.97,7,0,0,Lorem ipsum dolor sit amet,,9.6
Trevor,2024-01-06,Trevor Workout,1h,Deadlift (Barbell),1,62.99,9,0,0,Lorem ipsum dolor sit amet,,6.7
Trevor,2024-01-07,Trevor Workout,1h,Deadlift (Barbell),1,63.34,7,0,0,Lorem ipsum dolor sit amet,,9.8
Trevor,2024-01-08,Trevor Workout,1h,Deadlift (Barbell),1,63.59,6,0,0,Lorem ipsum dolor sit amet,,9.9
Trevor,2024-01-09,Trevor Workout,1h,Deadlift (Barbell),1,63.89,5,0,0,Lorem ipsum dolor sit amet,,8.9
Trevor,2024-01-10,Trevor Workout,1h,Deadlift (Barbell),1,64.14,8,0,0,Lorem ipsum dolor sit amet,,9.2
Trevor,2024-01-11,Trevor Workout,1h,Deadlift (Barbell),1,64.36,7,0,0,Lorem ipsum dolor sit amet,,9.3
Trevor,2024-01-12,Trevor Workout,1h,Deadlift (Barbell),1,64.48,9,0,0,Lorem ipsum dolor sit amet,,7.4
Trevor,2024-01-13,Trevor Workout,1h,Deadlift (Barbell),1,64.67,5,0,0,Lorem ipsum dolor sit amet,,8.2
Trevor,2024-01-14,Trevor Workout,1h,Deadlift (Barbell),1,65.0,8,0,0,Lorem ipsum dolor sit amet,,7.4
Trevor,2024-01-15,Trevor Workout,1h,Deadlift (Barbell),1,65.27,7,0,0,Lorem ipsum dolor sit amet,,7.5
Trevor,2024-01-16,Trevor Workout,1h,Deadlift (Barbell),1,65.46,5,0,0,Lorem ipsum dolor sit amet,,8.6
Trevor,2024-01-17,Trevor Workout,1h,Deadlift (Barbell),1,65.71,10,0,0,Lorem ipsum dolor sit amet,,8.5
Trevor,2024-01-18,Trevor Workout,1h,Deadlift (Barbell),1,66.23,10,0,0,Lorem ipsum dolor sit amet,,9.0
Trevor,2024-01-19,Trevor Workout,1h,Deadlift (Barbell),1,66.37,8,0,0,Lorem ipsum dolor sit amet,,8.2
Trevor,2024-01-20,Trevor Workout,1h,Deadlift (Barbell),1,66.76,10,0,0,Lorem ipsum dolor sit amet,,10.0
Trevor,2024-01-21,Trevor Workout,1h,Deadlift (Barbell),1,67.15,9,0,0,Lorem ipsum dolor sit amet,,7.5
Trevor,2024-01-22,Trevor Workout,1h,Deadlift (Barbell),1,67.1,10,0,0,Lorem ipsum dolor sit amet,,8.3
Trevor,2024-01-23,Trevor Workout,1h,Deadlift (Barbell),1,67.2,7,0,0,Lorem ipsum dolor sit amet,,10.0
Trevor,2024-01-24,Trevor Workout,1h,Deadlift (Barbell),1,67.49,6,0,0,Lorem ipsum dolor sit amet,,7.3
Trevor,2024-01-25,Trevor Workout,1h,Deadlift (Barbell),1,67.69,5,0,0,Lorem ipsum dolor sit amet,,9.9
Trevor,2024-01-26,Trevor Workout,1h,Deadlift (Barbell),1,67.95,6,0,0,Lorem ipsum dolor sit amet,,9.6
Trevor,2024-01-27,Trevor Workout,1h,Deadlift (Barbell),1,68.27,6,0,0,Lorem ipsum dolor sit amet,,7.8
Trevor,2024-01-28,Trevor Workout,1h,Deadlift (Barbell),1,68.42,6,0,0,Lorem ipsum dolor sit amet,,8.7
Trevor,2024-01-29,Trevor Workout,1h,Deadlift (Barbell),1,68.81,5,0,0,Lorem ipsum dolor sit amet,,7.8
Trevor,2024-01-30,Trevor Workout,1h,Deadlift (Barbell),1,69.04,10,0,0,Lorem ipsum dolor sit amet,,8.9
Trevor,2024-01-31,Trevor Workout,1h,Deadlift (Barbell),1,69.45,7,0,0,Lorem ipsum dolor sit amet,,8.4
Trevor,2024-02-01,Trevor Workout,1h,Deadlift (Barbell),1,69.61,9,0,0,Lorem ipsum dolor sit amet,,8.8
Trevor,2024-02-02,Trevor Workout,1h,Deadlift (Barbell),1,69.8,10,0,0,Lorem ipsum dolor sit amet,,6.4
Trevor,2024-02-03,Trevor Workout,1h,Deadlift (Barbell),1,70.05,5,0,0,Lorem ipsum dolor sit amet,,9.2
Trevor,2024-02-04,Trevor Workout,1h,Deadlift (Barbell),1,70.36,8,0,0,Lorem ipsum dolor sit amet,,7.0
Trevor,2024-02-05,Trevor Workout,1h,Deadlift (Barbell),1,70.91,8,0,0,Lorem ipsum dolor sit amet,,6.7
Trevor,2024-02-06,Trevor Workout,1h,Deadlift (Barbell),1,71.14,9,0,0,Lorem ipsum dolor sit amet,,6.5
Trevor,2024-02-07,Trevor Workout,1h,Deadlift (Barbell),1,71.42,8,0,0,Lorem ipsum dolor sit amet,,8.3
Trevor,2024-02-08,Trevor Workout,1h,Deadlift (Barbell),1,71.77,9,0,0,Lorem ipsum dolor sit amet,,6.3
Trevor,2024-02-09,Trevor Workout,1h,Deadlift (Barbell),1,72.32,10,0,0,Lorem ipsum dolor sit amet,,7.8
Trevor,2024-02-10,Trevor Workout,1h,Deadlift (Barbell),1,72.43,6,0,0,Lorem ipsum dolor sit amet,,6.8
Trevor,2024-02-11,Trevor Workout,1h,Deadlift (Barbell),1,72.89,6,0,0,Lorem ipsum dolor sit amet,,7.5
Trevor,2024-02-12,Trevor Workout,1h,Deadlift (Barbell),1,73.09,9,0,0,Lorem ipsum dolor sit amet,,6.1
Trevor,2024-02-13,Trevor Workout,1h,Deadlift (Barbell),1,73.46,8,0,0,Lorem ipsum dolor sit amet,,9.3
Trevor,2024-02-14,Trevor Workout,1h,Deadlift (Barbell),1,73.52,8,0,0,Lorem ipsum dolor sit amet,,9.5
Trevor,2024-02-15,Trevor Workout,1h,Deadlift (Barbell),1,73.8,7,0,0,Lorem ipsum dolor sit amet,,6.2
Trevor,2024-02-16,Trevor Workout,1h,Deadlift (Barbell),1,74.12,7,0,0,Lorem ipsum dolor sit amet,,6.6
Trevor,2024-02-17,Trevor Workout,1h,Deadlift (Barbell),1,74.34,6,0,0,Lorem ipsum dolor sit amet,,6.2
Trevor,2024-02-18,Trevor Workout,1h,Deadlift (Barbell),1,74.82,5,0,0,Lorem ipsum dolor sit amet,,6.3
Trevor,2024-02-19,Trevor Workout,1h,Deadlift (Barbell),1,75.46,6,0,0,Lorem ipsum dolor sit amet,,7.2
Trevor,2024-02-20,Trevor Workout,1h,Deadlift (Barbell),1,76.06,10,0,0,Lorem ipsum dolor sit amet,,6.7
Trevor,2024-02-21,Trevor Workout,1h,Deadlift (Barbell),1,76.29,9,0,0,Lorem ipsum dolor sit amet,,8.9
Trevor,2024-02-22,Trevor Workout,1h,Deadlift (Barbell),1,76.37,9,0,0,Lorem ipsum dolor sit amet,,9.3
Trevor,2024-02-23,Trevor Workout,1h,Deadlift (Barbell),1,76.6,7,0,0,Lorem ipsum dolor sit amet,,8.5
Trevor,2024-02-24,Trevor Workout,1h,Deadlift (Barbell),1,77.21,7,0,0,Lorem ipsum dolor sit amet,,7.1
Trevor,2024-02-25,Trevor Workout,1h,Deadlift (Barbell),1,77.58,9,0,0,Lorem ipsum dolor sit amet,,9.3
Trevor,2024-02-26,Trevor Workout,1h,Deadlift (Barbell),1,78.05,5,0,0,Lorem ipsum dolor sit amet,,7.9
Trevor,2024-02-27,Trevor Workout,1h,Deadlift (Barbell),1,78.43,7,0,0,Lorem ipsum dolor sit amet,,8.1
Trevor,2024-02-28,Trevor Workout,1h,Deadlift (Barbell),1,78.71,6,0,0,Lorem ipsum dolor sit amet,,8.8
Trevor,2024-02-29,Trevor Workout,1h,Deadlift (Barbell),1,78.88,10,0,0,Lorem ipsum dolor sit amet,,8.3
Trevor,2024-03-01,Trevor Workout,1h,Deadlift (Barbell),1,79.18,10,0,0,Lorem ipsum dolor sit amet,,8.6
Trevor,2024-03-02,Trevor Workout,1h,Deadlift (Barbell),1,79.55,10,0,0,Lorem ipsum dolor sit amet,,9.6
Trevor,2024-03-03,Trevor Workout,1h,Deadlift (Barbell),1,80.04,10,0,0,Lorem ipsum dolor sit amet,,7.2
Trevor,2024-03-04,Trevor Workout,1h,Deadlift (Barbell),1,80.54,9,0,0,Lorem ipsum dolor sit amet,,7.7
Trevor,2024-03-05,Trevor Workout,1h,Deadlift (Barbell),1,80.87,9,0,0,Lorem ipsum dolor sit amet,,7.0
Trevor,2024-03-06,Trevor Workout,1h,Deadlift (Barbell),1,81.28,9,0,0,Lorem ipsum dolor sit amet,,8.6
Trevor,2024-03-07,Trevor Workout,1h,Deadlift (Barbell),1,81.6,8,0,0,Lorem ipsum dolor sit amet,,7.8
Trevor,2024-03-08,Trevor Workout,1h,Deadlift (Barbell),1,81.78,7,0,0,Lorem ipsum dolor sit amet,,8.6
Trevor,2024-03-09,Trevor Workout,1h,Deadlift (Barbell),1,82.23,7,0,0,Lorem ipsum dolor sit amet,,6.5
Trevor,2024-03-10,Trevor Workout,1h,Deadlift (Barbell),1,82.78,5,0,0,Lorem ipsum dolor sit amet,,8.0
Trevor,2024-03-11,Trevor Workout,1h,Deadlift (Barbell),1,83.3,5,0,0,Lorem ipsum dolor sit amet,,7.6
Trevor,2024-03-12,Trevor Workout,1h,Deadlift (Barbell),1,84.02,6,0,0,Lorem ipsum dolor sit amet,,8.8
Trevor,2024-03-13,Trevor Workout,1h,Deadlift (Barbell),1,84.26,6,0,0,Lorem ipsum dolor sit amet,,7.6
Trevor,2024-03-14,Trevor Workout,1h,Deadlift (Barbell),1,84.7,10,0,0,Lorem ipsum dolor sit amet,,8.2
Trevor,2024-03-15,Trevor Workout,1h,Deadlift (Barbell),1,85.28,9,0,0,Lorem ipsum dolor sit amet,,6.4
Trevor,2024-03-16,Trevor Workout,1h,Deadlift (Barbell),1,85.39,10,0,0,Lorem ipsum dolor sit amet,,6.6
Trevor,2024-03-17,Trevor Workout,1h,Deadlift (Barbell),1,85.94,10,0,0,Lorem ipsum dolor sit amet,,9.2
Trevor,2024-03-18,Trevor Workout,1h,Deadlift (Barbell),1,86.5,9,0,0,Lorem ipsum dolor sit amet,,6.9
Trevor,2024-03-19,Trevor Workout,1h,Deadlift (Barbell),1,87.27,8,0,0,Lorem ipsum dolor sit amet,,8.6
Trevor,2024-03-20,Trevor Workout,1h,Deadlift (Barbell),1,87.59,7,0,0,Lorem ipsum dolor sit amet,,7.0
Trevor,2024-03-21,Trevor Workout,1h,Deadlift (Barbell),1,88.25,9,0,0,Lorem ipsum dolor sit amet,,6.1
Trevor,2024-03-22,Trevor Workout,1h,Deadlift (Barbell),1,88.79,5,0,0,Lorem ipsum dolor sit amet,,9.6
Trevor,2024-03-23,Trevor Workout,1h,Deadlift (Barbell),1,89.32,9,0,0,Lorem ipsum dolor sit amet,,8.5
Trevor,2024-03-24,Trevor Workout,1h,Deadlift (Barbell),1,89.65,5,0,0,Lorem ipsum dolor sit amet,,9.3
Trevor,2024-03-25,Trevor Workout,1h,Deadlift (Barbell),1,90.17,9,0,0,Lorem ipsum dolor sit amet,,8.4
Trevor,2024-03-26,Trevor Workout,1h,Deadlift (Barbell),1,90.57,7,0,0,Lorem ipsum dolor sit amet,,8.9
Trevor,2024-03-27,Trevor Workout,1h,Deadlift (Barbell),1,91.24,6,0,0,Lorem ipsum dolor sit amet,,7.1
Trevor,2024-03-28,Trevor Workout,1h,Deadlift (Barbell),1,91.76,9,0,0,Lorem ipsum dolor sit amet,,9.6
Trevor,2024-03-29,Trevor Workout,1h,Deadlift (Barbell),1,92.28,7,0,0,Lorem ipsum dolor sit amet,,8.8
Trevor,2024-03-30,Trevor Workout,1h,Deadlift (Barbell),1,93.0,9,0,0,Lorem ipsum dolor sit amet,,9.9
Trevor,2024-01-01,Trevor Workout,1h,Squat (Barbell),1,95.05,6,0,0,Lorem ipsum dolor sit amet,,9.1
Trevor,2024-01-02,Trevor Workout,1h,Squat (Barbell),1,95.79,10,0,0,Lorem ipsum dolor sit amet,,7.8
Trevor,2024-01-03,Trevor Workout,1h,Squat (Barbell),1,96.34,8,0,0,Lorem ipsum dolor sit amet,,6.3
Trevor,2024-01-04,Trevor Workout,1h,Squat (Barbell),1,96.7,8,0,0,Lorem ipsum dolor sit amet,,6.2
Trevor,2024-01-05,Trevor Workout,1h,Squat (Barbell),1,97.17,5,0,0,Lorem ipsum dolor sit amet,,7.0
Trevor,2024-01-06,Trevor Workout,1h,Squat (Barbell),1,97.55,7,0,0,Lorem ipsum dolor sit amet,,9.8
Trevor,2024-01-07,Trevor Workout,1h,Squat (Barbell),1,97.95,5,0,0,Lorem ipsum dolor sit amet,,6.5
Trevor,2024-01-08,Trevor Workout,1h,Squat (Barbell),1,98.35,6,0,0,Lorem ipsum dolor sit amet,,7.1
Trevor,2024-01-09,Trevor Workout,1h,Squat (Barbell),1,98.83,9,0,0,Lorem ipsum dolor sit amet,,8.9
Trevor,2024-01-10,Trevor Workout,1h,Squat (Barbell),1,99.38,9,0,0,Lorem ipsum dolor sit amet,,8.0
Trevor,2024-01-11,Trevor Workout,1h,Squat (Barbell),1,99.71,7,0,0,Lorem ipsum dolor sit amet,,7.7
Trevor,2024-01-12,Trevor Workout,1h,Squat (Barbell),1,100.18,5,0,0,Lorem ipsum dolor sit amet,,9.2
Trevor,2024-01-13,Trevor Workout,1h,Squat (Barbell),1,100.59,8,0,0,Lorem ipsum dolor sit amet,,9.3
Trevor,2024-01-14,Trevor Workout,1h,Squat (Barbell),1,101.09,10,0,0,Lorem ipsum dolor sit amet,,9.4
Trevor,2024-01-15,Trevor Workout,1h,Squat (Barbell),1,101.76,5,0,0,Lorem ipsum dolor sit amet,,7.1
Trevor,2024-01-16,Trevor Workout,1h,Squat (Barbell),1,102.22,9,0,0,Lorem ipsum dolor sit amet,,6.1
Trevor,2024-01-17,Trevor Workout,1h,Squat (Barbell),1,102.92,9,0,0,Lorem ipsum dolor sit amet,,6.5
Trevor,2024-01-18,Trevor Workout,1h,Squat (Barbell),1,103.35,7,0,0,Lorem ipsum dolor sit amet,,8.4
Trevor,2024-01-19,Trevor Workout,1h,Squat (Barbell),1,103.88,7,0,0,Lorem ipsum dolor sit amet,,6.8
Trevor,2024-01-20,Trevor Workout,1h,Squat (Barbell),1,104.45,9,0,0,Lorem ipsum dolor sit amet,,9.5
Trevor,2024-01-21,Trevor Workout,1h,Squat (Barbell),1,105.19,6,0,0,Lorem ipsum dolor sit amet,,7.3
Trevor,2024-01-22,Trevor Workout,1h,Squat (Barbell),1,105.81,7,0,0,Lorem ipsum dolor sit amet,,7.8
Trevor,2024-01-23,Trevor Workout,1h,Squat (Barbell),1,106.36,9,0,0,Lorem ipsum dolor sit amet,,7.2
Trevor,2024-01-24,Trevor Workout,1h,Squat (Barbell),1,106.79,6,0,0,Lorem ipsum dolor sit amet,,7.6
Trevor,2024-01-25,Trevor Workout,1h,Squat (Barbell),1,107.42,6,0,0,Lorem ipsum dolor sit amet,,8.7
Trevor,2024-01-26,Trevor Workout,1h,Squat (Barbell),1,107.97,8,0,0,Lorem ipsum dolor sit amet,,7.3
Trevor,2024-01-27,Trevor Workout,1h,Squat (Barbell),1,108.6,7,0,0,Lorem ipsum dolor sit amet,,7.4
Trevor,2024-01-28,Trevor Workout,1h,Squat (Barbell),1,109.51,9,0,0,Lorem ipsum dolor sit amet,,6.5
